Year;MAKE;MODEL;VEHICLE CLASS;ENGINE SIZE;CYLINDERS;TRANSMISSION;FUEL;FUEL CONSUMPTION;COEMISSIONS 
2000;ACURA;1.6EL;COMPACT;16;4;A4;X;105;216
2000;ACURA;1.6EL;COMPACT;16;4;M5;X;98;205
2000;ACURA;3.2TL;MID-SIZE;32;6;AS5;Z;137;265
2000;ACURA;3.5RL;MID-SIZE;35;6;A4;Z;15;301
2000;ACURA;INTEGRA;SUBCOMPACT;18;4;A4;X;114;230
2000;ACURA;INTEGRA;SUBCOMPACT;18;4;M5;X;106;219
2000;ACURA;INTEGRA GSR/TYPE R;SUBCOMPACT;18;4;M5;Z;108;223
2000;ACURA;NSX;SUBCOMPACT;3;6;AS4;Z;152;306
2000;ACURA;NSX;SUBCOMPACT;32;6;M6;Z;154;306
2000;AUDI;A4;COMPACT;18;4;A5;Z;129;251
2000;AUDI;A4;COMPACT;18;4;M5;Z;111;223
2000;AUDI;A4;COMPACT;28;6;A5;Z;146;285
2000;AUDI;A4;COMPACT;28;6;M5;Z;132;260
2000;AUDI;A4 QUATTRO;COMPACT;18;4;A5;Z;136;267
2000;AUDI;A4 QUATTRO;COMPACT;18;4;M5;Z;121;246
2000;AUDI;A4 QUATTRO;COMPACT;28;6;A5;Z;149;292
2000;AUDI;A4 QUATTRO;COMPACT;28;6;M5;Z;143;288
2000;AUDI;A6;MID-SIZE;28;6;A5;Z;15;294
2000;AUDI;A6 AVANT QUATTRO;STATION WAGON - MID-SIZE;28;6;A5;Z;154;306
2000;AUDI;A6 QUATTRO;MID-SIZE;27;6;A5;Z;152;304
2000;AUDI;A6 QUATTRO;MID-SIZE;27;6;M6;Z;152;304
2000;AUDI;A6 QUATTRO;MID-SIZE;28;6;A5;Z;154;306
2000;AUDI;A6 QUATTRO;MID-SIZE;28;6;M5;Z;146;297
2000;AUDI;A6 QUATTRO;MID-SIZE;42;8;A5;Z;155;308
2000;AUDI;A8 QUATTRO;MID-SIZE;42;8;A5;Z;155;308
2000;AUDI;S4 QUATTRO;COMPACT;27;6;A5;Z;152;304
2000;AUDI;S4 QUATTRO;COMPACT;27;6;M6;Z;152;304
2000;AUDI;TT COUPE QUATTRO;MINICOMPACT;18;4;M5;Z;131;260
2000;AUDI;TT COUPE QUATTRO (SUPERCHARGED);MINICOMPACT;18;4;M6;Z;131;260
2000;AUDI;TT ROADSTER;TWO-SEATER;18;4;M5;Z;123;246
2000;AUDI;TT ROADSTER QUATTRO (SUPERCHARGED);TWO-SEATER;18;4;M6;Z;131;260
2000;BMW;323 CONVERTIBLE;COMPACT;25;6;A5;Z;146;292
2000;BMW;323 CONVERTIBLE;COMPACT;25;6;M5;Z;139;281
2000;BMW;323Ci;COMPACT;25;6;A5;Z;138;271
2000;BMW;323Ci;COMPACT;25;6;M5;Z;13;258
2000;BMW;323i;COMPACT;25;6;A5;Z;138;271
2000;BMW;323i;COMPACT;25;6;M5;Z;13;258
2000;BMW;328Ci;COMPACT;28;6;A5;Z;139;274
2000;BMW;328Ci;COMPACT;28;6;M5;Z;13;258
2000;BMW;328i;COMPACT;28;6;A5;Z;139;274
2000;BMW;328i;COMPACT;28;6;M5;Z;13;258
2000;BMW;528i;COMPACT;28;6;A4;Z;146;288
2000;BMW;528i;COMPACT;28;6;M5;Z;13;258
2000;BMW;528i TOURING;STATION WAGON - SMALL;28;6;A4;Z;146;288
2000;BMW;528i TOURING;STATION WAGON - SMALL;28;6;M5;Z;145;285
2000;BMW;540i;COMPACT;44;8;A5;Z;147;294
2000;BMW;540i;COMPACT;44;8;M6;Z;164;317
2000;BMW;540i TOURING;STATION WAGON - SMALL;44;8;A5;Z;155;320
2000;BMW;740i;MID-SIZE;44;8;A5;Z;154;308
2000;BMW;740iL;FULL-SIZE;44;8;A5;Z;154;308
2000;BMW;750iL;FULL-SIZE;54;12;A5;Z;191;373
2000;BMW;M COUPE;TWO-SEATER;32;6;M5;Z;139;281
2000;BMW;M ROADSTER;MINICOMPACT;32;6;M5;Z;139;281
2000;BMW;M5;COMPACT;49;8;M6;Z;196;375
2000;BMW;X5;SUV;44;8;A5;Z;149;294
2000;BMW;Z3;SUBCOMPACT;25;6;A4;Z;14;278
2000;BMW;Z3;SUBCOMPACT;25;6;M5;Z;134;267
2000;BMW;Z3;SUBCOMPACT;28;6;A4;Z;139;278
2000;BMW;Z3;SUBCOMPACT;28;6;M5;Z;139;278
2000;BMW;Z8;TWO-SEATER;49;8;M6;Z;193;380
2000;BUICK;CENTURY;MID-SIZE;31;6;A4;X;131;255
2000;BUICK;LESABRE;FULL-SIZE;38;6;A4;X;138;265
2000;BUICK;PARK AVENUE;FULL-SIZE;38;6;A4;X;144;276
2000;BUICK;PARK AVENUE #;FULL-SIZE;38;6;A4;Z;151;290
2000;BUICK;REGAL;MID-SIZE;38;6;A4;X;135;262
2000;BUICK;REGAL #;MID-SIZE;38;6;A4;Z;151;290
2000;CADILLAC;CATERA;MID-SIZE;3;6;A4;Z;147;294
2000;CADILLAC;DEVILLE;FULL-SIZE;46;8;A4;Z;155;297
2000;CADILLAC;ELDORADO;MID-SIZE;46;8;A4;Z;155;297
2000;CADILLAC;ESCALADE 4X4;SUV;57;8;A4;X;212;430
2000;CADILLAC;SEVILLE;MID-SIZE;46;8;A4;Z;155;297
2000;CHEVROLET;ASTRO AWD CARGO;VAN - CARGO;43;6;A4;X;17;350
2000;CHEVROLET;ASTRO AWD PASSENGER;VAN - PASSENGER;43;6;A4;X;174;359
2000;CHEVROLET;ASTRO CARGO;VAN - CARGO;43;6;A4;X;162;336
2000;CHEVROLET;ASTRO PASSENGER;VAN - PASSENGER;43;6;A4;X;177;368
2000;CHEVROLET;BLAZER;SUV;43;6;A4;X;162;336
2000;CHEVROLET;BLAZER;SUV;43;6;M5;X;163;327
2000;CHEVROLET;BLAZER 4X4;SUV;43;6;A4;X;169;350
2000;CHEVROLET;BLAZER 4X4;SUV;43;6;M5;X;187;386
2000;CHEVROLET;C1500 SILVERADO;PICKUP TRUCK - STANDARD;43;6;A4;X;177;368
2000;CHEVROLET;C1500 SILVERADO;PICKUP TRUCK - STANDARD;43;6;M5;X;185;384
2000;CHEVROLET;C1500 SILVERADO;PICKUP TRUCK - STANDARD;48;8;A4;X;163;334
2000;CHEVROLET;C1500 SILVERADO;PICKUP TRUCK - STANDARD;48;8;M5;X;189;373
2000;CHEVROLET;C1500 SILVERADO;PICKUP TRUCK - STANDARD;53;8;A4;X;167;343
2000;CHEVROLET;C2500 SILVERADO;PICKUP TRUCK - STANDARD;53;8;A4;X;179;373
2000;CHEVROLET;C2500 SILVERADO;PICKUP TRUCK - STANDARD;6;8;A4;X;214;435
2000;CHEVROLET;CAMARO;SUBCOMPACT;38;6;A4;X;139;269
2000;CHEVROLET;CAMARO;SUBCOMPACT;38;6;M5;X;137;262
2000;CHEVROLET;CAMARO;SUBCOMPACT;57;8;A4;Z;154;306
2000;CHEVROLET;CAMARO;SUBCOMPACT;57;8;M6;Z;147;285
2000;CHEVROLET;CAVALIER;SUBCOMPACT;22;4;A4;X;116;232
2000;CHEVROLET;CAVALIER;SUBCOMPACT;22;4;M5;X;122;235
2000;CHEVROLET;CAVALIER;SUBCOMPACT;24;4;A4;X;125;248
2000;CHEVROLET;CAVALIER;SUBCOMPACT;24;4;M5;X;121;235
2000;CHEVROLET;CAVALIER BIFUEL;SUBCOMPACT;22;4;A3;X;118;242
2000;CHEVROLET;CORVETTE;SUBCOMPACT;57;8;A4;Z;155;308
2000;CHEVROLET;CORVETTE;SUBCOMPACT;57;8;M6;Z;144;278
2000;CHEVROLET;G15/G25 CHEVY VAN;VAN - CARGO;43;6;A4;X;178;368
2000;CHEVROLET;G15/G25 CHEVY VAN;VAN - CARGO;5;8;A4;X;182;373
2000;CHEVROLET;G15/G25 CHEVY VAN;VAN - CARGO;57;8;A4;X;193;398
2000;CHEVROLET;G1500/G2500 CHEVY EXPRESS;VAN - PASSENGER;43;6;A4;X;183;380
2000;CHEVROLET;G1500/G2500 CHEVY EXPRESS;VAN - PASSENGER;5;8;A4;X;185;384
2000;CHEVROLET;G1500/G2500 CHEVY EXPRESS;VAN - PASSENGER;57;8;A4;X;206;426
2000;CHEVROLET;IMPALA;FULL-SIZE;34;6;A4;X;136;260
2000;CHEVROLET;IMPALA;FULL-SIZE;38;6;A4;X;135;262
2000;CHEVROLET;K1500 SILVERADO 4X4;PICKUP TRUCK - STANDARD;43;6;A4;X;17;350
2000;CHEVROLET;K1500 SILVERADO 4X4;PICKUP TRUCK - STANDARD;43;6;M5;X;187;386
2000;CHEVROLET;K1500 SILVERADO 4X4;PICKUP TRUCK - STANDARD;48;8;A4;X;173;366
2000;CHEVROLET;K1500 SILVERADO 4X4;PICKUP TRUCK - STANDARD;48;8;M5;X;201;405
2000;CHEVROLET;K1500 SILVERADO 4X4;PICKUP TRUCK - STANDARD;53;8;A4;X;18;377
2000;CHEVROLET;K1500 TAHOE 4X4;SUV;57;8;A4;X;211;430
2000;CHEVROLET;LUMINA/MONTE CARLO;MID-SIZE;34;6;A4;X;136;260
2000;CHEVROLET;LUMINA/MONTE CARLO;MID-SIZE;38;6;A4;X;135;262
2000;CHEVROLET;MALIBU;MID-SIZE;31;6;A4;X;131;255
2000;CHEVROLET;METRO;SUBCOMPACT;1;3;M5;X;71;147
2000;CHEVROLET;METRO;SUBCOMPACT;13;4;A3;X;91;191
2000;CHEVROLET;METRO;SUBCOMPACT;13;4;M5;X;76;156
2000;CHEVROLET;NEW C1500 SUBURBAN;SUV;53;8;A4;X;189;391
2000;CHEVROLET;NEW C1500 TAHOE;SUV;48;8;A4;X;187;391
2000;CHEVROLET;NEW C1500 TAHOE;SUV;53;8;A4;X;189;391
2000;CHEVROLET;NEW K1500 TAHOE 4X4;SUV;48;8;A4;X;187;391
2000;CHEVROLET;NEW K1500 TAHOE 4X4;SUV;53;8;A4;X;189;391
2000;CHEVROLET;S10;PICKUP TRUCK - SMALL;22;4;A4;X;138;278
2000;CHEVROLET;S10;PICKUP TRUCK - SMALL;22;4;M5;X;122;246
2000;CHEVROLET;S10;PICKUP TRUCK - SMALL;43;6;A4;X;154;313
2000;CHEVROLET;S10;PICKUP TRUCK - SMALL;43;6;M5;X;161;322
2000;CHEVROLET;S10 4X4;PICKUP TRUCK - STANDARD;43;6;A4;X;168;345
2000;CHEVROLET;S10 4X4;PICKUP TRUCK - STANDARD;43;6;M5;X;163;329
2000;CHEVROLET;TRACKER 4X4;SUV;2;4;A4;X;117;251
2000;CHEVROLET;TRACKER 4X4;SUV;2;4;M5;X;119;255
2000;CHEVROLET;TRACKER CONVERTIBLE 4X4;SUV;16;4;M5;X;105;228
2000;CHEVROLET;TRACKER CONVERTIBLE 4X4;SUV;2;4;A4;X;117;251
2000;CHEVROLET;TRACKER CONVERTIBLE 4X4;SUV;2;4;M5;X;119;255
2000;CHEVROLET;VENTURE;MINIVAN;34;6;A4;X;14;281
2000;CHRYSLER;300M;FULL-SIZE;35;6;AS4;X;144;283
2000;CHRYSLER;CIRRUS;MID-SIZE;24;4;A4;X;134;265
2000;CHRYSLER;CIRRUS;MID-SIZE;25;6;A4;X;136;269
2000;CHRYSLER;CONCORDE;FULL-SIZE;27;6;A4;X;132;260
2000;CHRYSLER;CONCORDE;FULL-SIZE;32;6;A4;X;142;276
2000;CHRYSLER;INTREPID;FULL-SIZE;27;6;A4;X;132;260
2000;CHRYSLER;INTREPID;FULL-SIZE;27;6;AS4;X;132;258
2000;CHRYSLER;INTREPID;FULL-SIZE;32;6;AS4;X;142;274
2000;CHRYSLER;INTREPID;FULL-SIZE;35;6;AS4;X;144;283
2000;CHRYSLER;LHS;FULL-SIZE;35;6;A4;X;147;288
2000;CHRYSLER;NEON;COMPACT;2;4;A3;X;109;223
2000;CHRYSLER;NEON;COMPACT;2;4;M5;X;96;198
2000;CHRYSLER;PT CRUISER;SUBCOMPACT;24;4;A4;X;134;276
2000;CHRYSLER;PT CRUISER;SUBCOMPACT;24;4;M5;X;132;269
2000;CHRYSLER;SEBRING;COMPACT;25;6;A4;X;135;267
2000;CHRYSLER;SEBRING CONVERTIBLE;COMPACT;25;6;A4;X;136;269
2000;CHRYSLER;SEBRING CONVERTIBLE;COMPACT;25;6;AS4;X;147;288
2000;CHRYSLER;TOWN & COUNTRY;MINIVAN;38;6;A4;X;152;304
2000;CHRYSLER;TOWN & COUNTRY AWD;MINIVAN;38;6;A4;X;162;320
2000;DAEWOO;LANOS;SUBCOMPACT;15;4;A4;X;113;216
2000;DAEWOO;LANOS;SUBCOMPACT;15;4;M5;X;103;205
2000;DAEWOO;LANOS;SUBCOMPACT;16;4;A4;X;116;225
2000;DAEWOO;LANOS;SUBCOMPACT;16;4;M5;X;104;207
2000;DAEWOO;LEGANZA;COMPACT;22;4;A4;X;134;265
2000;DAEWOO;LEGANZA;COMPACT;22;4;M5;X;131;258
2000;DAEWOO;NUBIRA;COMPACT;2;4;A4;X;12;239
2000;DAEWOO;NUBIRA;COMPACT;2;4;M5;X;119;237
2000;DAEWOO;NUBIRA WAGON;STATION WAGON - SMALL;2;4;A4;X;12;239
2000;DAEWOO;NUBIRA WAGON;STATION WAGON - SMALL;2;4;M5;X;119;237
2000;DODGE;CARAVAN;MINIVAN;3;6;A4;X;146;290
2000;DODGE;CARAVAN;MINIVAN;33;6;A4;X;145;288
2000;DODGE;CARAVAN;MINIVAN;38;6;A4;X;152;304
2000;DODGE;CARAVAN FFV;MINIVAN;33;6;A4;X;145;288
2000;DODGE;CARAVAN FFV;MINIVAN;33;6;A4;E;206;283
2000;DODGE;DAKOTA;PICKUP TRUCK - STANDARD;39;6;A4;X;163;331
2000;DODGE;DAKOTA;PICKUP TRUCK - STANDARD;39;6;M5;X;168;329
2000;DODGE;DAKOTA;PICKUP TRUCK - STANDARD;47;8;A4;X;176;357
2000;DODGE;DAKOTA;PICKUP TRUCK - STANDARD;47;8;M5;X;183;363
2000;DODGE;DAKOTA;PICKUP TRUCK - STANDARD;59;8;A4;X;208;423
2000;DODGE;DAKOTA 4X4;PICKUP TRUCK - STANDARD;39;6;A4;X;181;375
2000;DODGE;DAKOTA 4X4;PICKUP TRUCK - STANDARD;39;6;M5;X;191;386
2000;DODGE;DAKOTA 4X4;PICKUP TRUCK - STANDARD;47;8;A4;X;183;370
2000;DODGE;DAKOTA 4X4;PICKUP TRUCK - STANDARD;47;8;M5;X;188;382
2000;DODGE;DAKOTA 4X4;PICKUP TRUCK - STANDARD;59;8;A4;X;223;444
2000;DODGE;DURANGO 4X4;SUV;47;8;A4;X;193;389
2000;DODGE;DURANGO 4X4;SUV;59;8;A4;X;223;444
2000;DODGE;DURANGO 5.9 R/T 4X4;SUV;59;8;A4;Z;223;444
2000;DODGE;GRAND CARAVAN;MINIVAN;3;6;A4;X;146;290
2000;DODGE;GRAND CARAVAN;MINIVAN;33;6;A4;X;145;288
2000;DODGE;GRAND CARAVAN;MINIVAN;38;6;A4;X;152;304
2000;DODGE;GRAND CARAVAN;MINIVAN;38;6;AS4;X;155;308
2000;DODGE;GRAND CARAVAN AWD;MINIVAN;38;6;A4;X;162;320
2000;DODGE;GRAND CARAVAN AWD;MINIVAN;38;6;AS4;X;164;324
2000;DODGE;GRAND CARAVAN FFV;MINIVAN;33;6;A4;X;145;288
2000;DODGE;GRAND CARAVAN FFV;MINIVAN;33;6;A4;E;206;283
2000;DODGE;RAM 1500;PICKUP TRUCK - STANDARD;39;6;A4;X;173;350
2000;DODGE;RAM 1500;PICKUP TRUCK - STANDARD;39;6;M5;X;174;345
2000;DODGE;RAM 1500;PICKUP TRUCK - STANDARD;52;8;A4;X;20;396
2000;DODGE;RAM 1500;PICKUP TRUCK - STANDARD;52;8;M5;X;202;396
2000;DODGE;RAM 1500;PICKUP TRUCK - STANDARD;59;8;A4;X;215;416
2000;DODGE;RAM 1500 4X4;PICKUP TRUCK - STANDARD;52;8;A4;X;216;435
2000;DODGE;RAM 1500 4X4;PICKUP TRUCK - STANDARD;52;8;M5;X;221;437
2000;DODGE;RAM 1500 4X4;PICKUP TRUCK - STANDARD;59;8;A4;X;216;426
2000;DODGE;RAM 1500 VAN;VAN - CARGO;39;6;A3;X;176;377
2000;DODGE;RAM 1500 VAN;VAN - CARGO;52;8;A4;X;196;386
2000;DODGE;RAM 1500 VAN;VAN - CARGO;59;8;A4;X;208;423
2000;DODGE;RAM 1500 WAGON;VAN - PASSENGER;39;6;A3;X;183;393
2000;DODGE;RAM 1500 WAGON;VAN - PASSENGER;52;8;A4;X;20;393
2000;DODGE;RAM 2500 VAN;VAN - CARGO;52;8;A4;X;20;393
2000;DODGE;RAM 2500 VAN;VAN - CARGO;59;8;A4;X;215;416
2000;DODGE;RAM 2500 VAN NGV;VAN - CARGO;52;8;A4;N;208;353
2000;DODGE;RAM 2500 WAGON;VAN - PASSENGER;52;8;A4;X;218;444
2000;DODGE;RAM 2500 WAGON;VAN - PASSENGER;59;8;A4;X;218;423
2000;DODGE;VIPER GTS;SUBCOMPACT;8;10;M6;Z;214;396
2000;DODGE;VIPER RT/10;SUBCOMPACT;8;10;M6;Z;214;396
2000;FERRARI;360 MODENA F1;TWO-SEATER;36;8;AS6;Z;246;474
2000;FERRARI;360 MODENA F1;TWO-SEATER;36;8;M6;Z;241;472
2000;FERRARI;456 MGT;SUBCOMPACT;55;12;A4;Z;267;513
2000;FERRARI;456 MGT;SUBCOMPACT;55;12;M6;Z;263;495
2000;FERRARI;456 MGTA;SUBCOMPACT;55;12;A4;Z;267;513
2000;FERRARI;456 MGTA;SUBCOMPACT;55;12;M6;Z;263;495
2000;FERRARI;550 MARANELLO;SUBCOMPACT;55;12;M6;Z;302;582
2000;FORD;COUGAR;COMPACT;2;4;M5;X;111;219
2000;FORD;COUGAR;COMPACT;25;6;A4;X;131;260
2000;FORD;COUGAR;COMPACT;25;6;M5;X;133;260
2000;FORD;CROWN VICTORIA;FULL-SIZE;46;8;A4;X;151;299
2000;FORD;E150 CLUB WAGON;VAN - PASSENGER;42;6;A4;X;191;393
2000;FORD;E150 CLUB WAGON;VAN - PASSENGER;46;8;A4;X;188;382
2000;FORD;E150 CLUB WAGON;VAN - PASSENGER;54;8;A4;X;199;403
2000;FORD;E150 VAN;VAN - CARGO;42;6;A4;X;19;389
2000;FORD;E150 VAN;VAN - CARGO;46;8;A4;X;178;359
2000;FORD;E150 VAN;VAN - CARGO;54;8;A4;X;179;363
2000;FORD;E250 VAN;VAN - CARGO;42;6;A4;X;191;391
2000;FORD;E250 VAN;VAN - CARGO;54;8;A4;X;202;403
2000;FORD;ESCORT ZX2;COMPACT;2;4;A4;X;106;216
2000;FORD;ESCORT ZX2;COMPACT;2;4;M5;X;106;216
2000;FORD;EXPEDITION;SUV;46;8;A4;X;178;359
2000;FORD;EXPEDITION;SUV;54;8;A4;X;202;403
2000;FORD;EXPEDITION 4X4;SUV;46;8;A4;X;193;391
2000;FORD;EXPEDITION 4X4;SUV;54;8;A4;X;211;426
2000;FORD;EXPLORER;SUV;4;6;M5;X;149;304
2000;FORD;EXPLORER;SUV;5;8;A4;X;184;368
2000;FORD;EXPLORER 4X4;SUV;4;6;M5;X;164;336
2000;FORD;EXPLORER 4X4;SUV;5;8;A4;X;187;373
2000;FORD;EXPLORER OHV;SUV;4;6;A5;X;171;357
2000;FORD;EXPLORER OHV 4X4;SUV;4;6;A5;X;173;352
2000;FORD;EXPLORER SOHC;SUV;4;6;A5;X;165;336
2000;FORD;EXPLORER SOHC 4X4;SUV;4;6;A5;X;167;343
2000;FORD;F150;PICKUP TRUCK - STANDARD;42;6;A4;X;167;340
2000;FORD;F150;PICKUP TRUCK - STANDARD;42;6;M5;X;163;334
2000;FORD;F150;PICKUP TRUCK - STANDARD;46;8;A4;X;17;345
2000;FORD;F150;PICKUP TRUCK - STANDARD;46;8;M5;X;178;354
2000;FORD;F150;PICKUP TRUCK - STANDARD;54;8;A4;X;179;363
2000;FORD;F150 4X4;PICKUP TRUCK - STANDARD;42;6;A4;X;173;359
2000;FORD;F150 4X4;PICKUP TRUCK - STANDARD;42;6;M5;X;18;373
2000;FORD;F150 4X4;PICKUP TRUCK - STANDARD;46;8;A4;X;185;380
2000;FORD;F150 4X4;PICKUP TRUCK - STANDARD;46;8;M5;X;188;380
2000;FORD;F150 4X4;PICKUP TRUCK - STANDARD;54;8;A4;X;207;423
2000;FORD;FOCUS SEDAN;COMPACT;2;4;A4;X;108;221
2000;FORD;FOCUS SEDAN;COMPACT;2;4;M5;X;108;216
2000;FORD;FOCUS WAGON;STATION WAGON - MID-SIZE;2;4;A4;X;106;219
2000;FORD;FOCUS WAGON;STATION WAGON - MID-SIZE;2;4;M5;X;109;216
2000;FORD;GRAND MARQUIS;FULL-SIZE;46;8;A4;X;15;297
2000;FORD;MUSTANG;SUBCOMPACT;38;6;A4;X;134;267
2000;FORD;MUSTANG;SUBCOMPACT;38;6;M5;X;136;267
2000;FORD;MUSTANG;SUBCOMPACT;46;8;A4;X;151;301
2000;FORD;MUSTANG;SUBCOMPACT;46;8;M5;X;154;304
2000;FORD;MUSTANG #;SUBCOMPACT;46;8;M5;X;157;308
2000;FORD;RANGER;PICKUP TRUCK - STANDARD;3;6;A4;X;157;315
2000;FORD;RANGER;PICKUP TRUCK - STANDARD;3;6;M5;X;162;322
2000;FORD;RANGER;PICKUP TRUCK - STANDARD;4;6;A5;X;17;354
2000;FORD;RANGER;PICKUP TRUCK - STANDARD;4;6;M5;X;149;306
2000;FORD;RANGER 4X4;PICKUP TRUCK - STANDARD;3;6;A4;X;164;336
2000;FORD;RANGER 4X4;PICKUP TRUCK - STANDARD;3;6;M5;X;155;320
2000;FORD;RANGER 4X4;PICKUP TRUCK - STANDARD;4;6;A5;X;173;357
2000;FORD;RANGER 4X4;PICKUP TRUCK - STANDARD;4;6;M5;X;165;340
2000;FORD;TAURUS;MID-SIZE;3;6;A4;X;136;267
2000;FORD;TAURUS #;MID-SIZE;3;6;A4;X;135;265
2000;FORD;TAURUS WAGON;STATION WAGON - MID-SIZE;3;6;A4;X;142;278
